Ministry of Finance,,
Revenue,,
Covid 19 Intervention,,
Lagos State,,
as at 5th May 2020,,
INFLOW,,
Sector,Amount (N),
Lagos State Government Revenue (April 2020),"1,000,000,000",
International Development agency,"70,000,000",
Banking,"1,000,000,000",
International NGOs,"1,000,000,000",
Manufacturing,"340,000,000",
Other sectors,"573,000,000",
Local NGOs,"70,000,000",
International companies,"710,000,000",
Insurance,"210,000,000",
Oil and gas,"610,000,000",
Individuals,"90,000,000",
Total,"5,673,000,000",
,,
